Features,comp,Topic,k,Ideology,protos.random,n,comp1,comp2,Hop,protos,svm,diff,protos.diff,by
BoW,Apr-Jul,GunControl,16,R,0.61,10,Apr,Jul,3,0.6846,0.7021,0.0176,0.0745,Month
BoW,Apr-Jul,GunControl,16,RC,0.6022,10,Apr,Jul,3,0.612,0.6777,0.0657,0.0098,Month
BoW,Apr-Jul,GunControl,32,C,0.6316,10,Apr,Jul,3,0.6806,0.6926,0.0121,0.049,Month
BoW,Apr-Jul,GunControl,32,ER,0.5595,10,Apr,Jul,3,0.5827,0.6049,0.0222,0.0232,Month
BoW,Apr-Jul,GunControl,32,L,0.6472,10,Apr,Jul,3,0.6712,0.6809,0.0097,0.024,Month
BoW,Apr-Jul,GunControl,32,LC,0.6312,10,Apr,Jul,3,0.6906,0.7066,0.016,0.0594,Month
BoW,Apr-Jul,GunControl,32,R,0.6498,10,Apr,Jul,3,0.7013,0.7021,8e-04,0.0515,Month
BoW,Apr-Jul,GunControl,32,RC,0.6114,10,Apr,Jul,3,0.6394,0.6777,0.0383,0.028,Month
BoW,Apr-Jul,IllegalImmi,4,C,0.5223,10,Apr,Jul,3,0.5831,0.7366,0.1534,0.0608,Month
BoW,Apr-Jul,IllegalImmi,4,ER,0.4868,10,Apr,Jul,3,0.5847,0.6954,0.1108,0.0979,Month
BoW,Apr-Jul,IllegalImmi,4,L,0.5448,10,Apr,Jul,3,0.6533,0.7568,0.1035,0.1085,Month
BoW,Apr-Jul,IllegalImmi,4,LC,0.5263,10,Apr,Jul,3,0.6035,0.7221,0.1186,0.0771,Month
BoW,Apr-Jul,IllegalImmi,4,R,0.5305,10,Apr,Jul,3,0.5918,0.7527,0.1609,0.0613,Month
BoW,Apr-Jul,IllegalImmi,4,RC,0.5001,10,Apr,Jul,3,0.558,0.697,0.1389,0.0579,Month
BoW,Apr-Jul,IllegalImmi,8,C,0.5469,10,Apr,Jul,3,0.6126,0.7366,0.124,0.0658,Month
BoW,Apr-Jul,IllegalImmi,8,ER,0.5062,10,Apr,Jul,3,0.5718,0.6954,0.1236,0.0656,Month
BoW,Apr-Jul,IllegalImmi,8,L,0.569,10,Apr,Jul,3,0.6731,0.7568,0.0836,0.1041,Month
BoW,Apr-Jul,IllegalImmi,8,LC,0.5478,10,Apr,Jul,3,0.628,0.7221,0.0941,0.0802,Month
BoW,Apr-Jul,IllegalImmi,8,R,0.552,10,Apr,Jul,3,0.6273,0.7527,0.1254,0.0753,Month
BoW,Apr-Jul,IllegalImmi,8,RC,0.5146,10,Apr,Jul,3,0.5903,0.697,0.1067,0.0757,Month
BoW,Apr-Jul,IllegalImmi,16,C,0.5803,10,Apr,Jul,3,0.6456,0.7366,0.091,0.0653,Month
BoW,Apr-Jul,IllegalImmi,16,ER,0.5476,10,Apr,Jul,3,0.6069,0.6954,0.0886,0.0593,Month
BoW,Apr-Jul,IllegalImmi,16,L,0.612,10,Apr,Jul,3,0.7069,0.7568,0.0498,0.0949,Month
BoW,Apr-Jul,IllegalImmi,16,LC,0.5654,10,Apr,Jul,3,0.6509,0.7221,0.0712,0.0854,Month
BoW,Apr-Jul,IllegalImmi,16,R,0.5716,10,Apr,Jul,3,0.6568,0.7527,0.0959,0.0852,Month
BoW,Apr-Jul,IllegalImmi,16,RC,0.5553,10,Apr,Jul,3,0.6137,0.697,0.0832,0.0584,Month
BoW,Apr-Jul,IllegalImmi,32,C,0.6152,10,Apr,Jul,3,0.6765,0.7366,0.0601,0.0613,Month
BoW,Apr-Jul,IllegalImmi,32,ER,0.5713,10,Apr,Jul,3,0.6407,0.6954,0.0547,0.0694,Month
BoW,Apr-Jul,IllegalImmi,32,L,0.6444,10,Apr,Jul,3,0.7106,0.7568,0.0462,0.0662,Month
BoW,Apr-Jul,IllegalImmi,32,LC,0.5872,10,Apr,Jul,3,0.6736,0.7221,0.0485,0.0864,Month
BoW,Apr-Jul,IllegalImmi,32,R,0.608,10,Apr,Jul,3,0.6765,0.7527,0.0762,0.0685,Month
BoW,Apr-Jul,IllegalImmi,32,RC,0.5942,10,Apr,Jul,3,0.6198,0.697,0.0772,0.0255,Month
BoW,Apr-Jul,LGBT,4,C,0.5131,10,Apr,Jul,3,0.5948,0.6852,0.0903,0.0817,Month
BoW,Apr-Jul,LGBT,4,ER,0.5527,10,Apr,Jul,3,0.5673,0.5904,0.0232,0.0145,Month
