topic,ideology,comp,n1,n2,units,vocab,jsd,cos,llr,top1,top2
IllegalImmi,all,Jan_May,4322,2128,nouns,7777,0.0989007,0.910871,41763.5,u.s.;woman;family;wall;president;year;border;immigration;asylum;trump,migrant;seeker;year;u.s.;asylum;immigration;border;mexico;trump;president
IllegalImmi,all,Jan_Jun,4322,2324,tokens,9067,0.0832103,0.824276,53426,woman;new;seeker;govern;say;migrant;wall;famili;saudi;mexico,new;children;countri;seeker;democrat;unit;peopl;migrant;mexico;week
IllegalImmi,all,Jan_Jun,4322,2324,nouns,7804,0.102218,0.888425,45048.3,u.s.;wall;woman;family;president;year;border;asylum;trump;immigration,immigrant;year;migrant;u.s.;president;border;immigration;trump;mexico;asylum
IllegalImmi,all,Jan_Jul,4322,3146,tokens,9527,0.0864771,0.805974,66149.5,old;rahaf;woman;saudi;famili;seeker;say;govern;wall;mexico,report;polici;democrat;administr;unit;american;rule;peopl;mexico;seeker
IllegalImmi,all,Jan_Jul,4322,3146,nouns,8351,0.106998,0.879207,57251.4,u.s.;year;family;president;immigration;wall;border;asylum;woman;trump,president;country;mexico;migrant;seeker;u.s.;border;immigration;trump;asylum
IllegalImmi,all,Jan_Aug,4322,1980,tokens,8947,0.0896363,0.825259,51862.7,woman;new;govern;say;seeker;migrant;mexico;wall;famili;saudi,famili;rule;new;peopl;seeker;migrant;court;countri;administr;mexico
IllegalImmi,all,Jan_Aug,4322,1980,nouns,7686,0.112512,0.881529,44457.1,u.s.;trump;family;immigration;president;border;asylum;year;wall;woman,seeker;immigrant;president;trump;u.s.;immigration;border;year;asylum;migrant
IllegalImmi,all,Jan_Sep,4322,1454,tokens,8465,0.101548,0.782687,47889.3,woman;new;saudi;seeker;famili;wall;mexico;say;migrant;govern,seek;peopl;mexico;rule;administr;polici;new;seeker;migrant;court
IllegalImmi,all,Jan_Sep,4322,1454,nouns,7235,0.124846,0.847751,40835.9,u.s.;woman;wall;president;family;year;asylum;immigration;border;trump,country;seeker;migrant;administration;u.s.;immigration;trump;asylum;border;court
IllegalImmi,all,Feb_Mar,2286,2388,tokens,8167,0.0569007,0.934382,28036.3,countri;wall;nation;migrant;new;report;mexico;govern;say;peopl,peopl;polici;famili;report;migrant;countri;new;mexico;say;court
IllegalImmi,all,Feb_Mar,2286,2388,nouns,6918,0.0712936,0.955038,24152.7,people;government;u.s.;border;seeker;immigration;president;year;trump;asylum,migrant;immigrant;seeker;year;trump;immigration;asylum;u.s.;mexico;border
IllegalImmi,all,Feb_Apr,2286,3098,tokens,8424,0.0740128,0.876561,40675.5,australia;refuge;countri;say;govern;report;wall;peopl;new;nation,say;unit;citi;countri;new;polici;administr;report;judg;court
IllegalImmi,all,Feb_Apr,2286,3098,nouns,7221,0.093627,0.922485,36332.4,people;government;u.s.;president;year;seeker;immigration;border;trump;asylum,year;border;seeker;u.s.;mexico;president;trump;migrant;immigration;asylum
