k,comp1,comp2,Hop,comp,Features,bacc.protos,se.protos,bacc.svm,se.svm,n,corr,correlation,diff,by
16,Feb,Jul,5,Feb-Jul,SBERT,0.5647,0.0058,0.6472,0.0063,30,0.7102,strong (.6 .8],0.0825,Month
16,Feb,Aug,6,Feb-Aug,BoW,0.5857,0.0078,0.7026,0.009,30,0.7791,strong (.6 .8],0.1169,Month
16,Feb,Aug,6,Feb-Aug,SBERT,0.5642,0.0056,0.6583,0.0086,30,0.7889,strong (.6 .8],0.0942,Month
16,Feb,Sep,7,Feb-Sep,BoW,0.605,0.0064,0.7062,0.0094,30,0.6309,strong (.6 .8],0.1012,Month
16,Feb,Sep,7,Feb-Sep,SBERT,0.5799,0.0052,0.6658,0.0081,30,0.5474,moderate (.4 .6],0.0858,Month
16,Mar,Apr,1,Mar-Apr,BoW,0.5574,0.0058,0.6459,0.0078,30,0.5309,moderate (.4 .6],0.0886,Month
16,Mar,Apr,1,Mar-Apr,SBERT,0.548,0.0053,0.6117,0.0074,30,0.7263,strong (.6 .8],0.0636,Month
16,Mar,May,2,Mar-May,BoW,0.5595,0.0062,0.6621,0.0058,30,0.5767,moderate (.4 .6],0.1026,Month
16,Mar,May,2,Mar-May,SBERT,0.5417,0.0053,0.6198,0.0058,30,0.6899,strong (.6 .8],0.0781,Month
16,Mar,Jun,3,Mar-Jun,BoW,0.5823,0.0067,0.6861,0.0059,30,0.6169,strong (.6 .8],0.1037,Month
16,Mar,Jun,3,Mar-Jun,SBERT,0.5648,0.006,0.642,0.006,30,0.6245,strong (.6 .8],0.0772,Month
16,Mar,Jul,4,Mar-Jul,BoW,0.5708,0.0066,0.6868,0.0056,30,0.595,moderate (.4 .6],0.116,Month
16,Mar,Jul,4,Mar-Jul,SBERT,0.5585,0.0055,0.6444,0.0065,30,0.6895,strong (.6 .8],0.0859,Month
16,Mar,Aug,5,Mar-Aug,BoW,0.5834,0.0088,0.6934,0.0103,30,0.7372,strong (.6 .8],0.11,Month
16,Mar,Aug,5,Mar-Aug,SBERT,0.565,0.0086,0.6528,0.0109,30,0.7611,strong (.6 .8],0.0878,Month
16,Mar,Sep,6,Mar-Sep,BoW,0.5899,0.008,0.7015,0.0101,30,0.8152,very strong (.8 1],0.1117,Month
16,Mar,Sep,6,Mar-Sep,SBERT,0.5788,0.0066,0.6625,0.0078,30,0.7394,strong (.6 .8],0.0837,Month
16,Apr,May,1,Apr-May,BoW,0.5455,0.0046,0.6391,0.0067,30,0.6528,strong (.6 .8],0.0936,Month
16,Apr,May,1,Apr-May,SBERT,0.5339,0.0049,0.5977,0.0065,30,0.5739,moderate (.4 .6],0.0638,Month
16,Apr,Jun,2,Apr-Jun,BoW,0.5764,0.0052,0.6755,0.0079,30,0.683,strong (.6 .8],0.0991,Month
