k,comp1,comp2,Hop,comp,Features,bacc.protos,se.protos,bacc.svm,se.svm,n,corr,correlation,diff,by
8,Mar,Apr,1,Mar-Apr,SBERT,0.5731,0.0065,0.6117,0.0074,30,0.7559,strong (.6 .8],0.0386,Month
8,Mar,May,2,Mar-May,BoW,0.5893,0.0086,0.6621,0.0058,30,0.733,strong (.6 .8],0.0728,Month
8,Mar,May,2,Mar-May,SBERT,0.5774,0.0062,0.6198,0.0058,30,0.7191,strong (.6 .8],0.0424,Month
8,Mar,Jun,3,Mar-Jun,BoW,0.6194,0.0064,0.6861,0.0059,30,0.7094,strong (.6 .8],0.0667,Month
8,Mar,Jun,3,Mar-Jun,SBERT,0.5982,0.0055,0.642,0.006,30,0.7832,strong (.6 .8],0.0438,Month
8,Mar,Jul,4,Mar-Jul,BoW,0.6101,0.0075,0.6868,0.0056,30,0.6966,strong (.6 .8],0.0767,Month
8,Mar,Jul,4,Mar-Jul,SBERT,0.5935,0.0064,0.6444,0.0065,30,0.7163,strong (.6 .8],0.0509,Month
8,Mar,Aug,5,Mar-Aug,BoW,0.6128,0.0101,0.6934,0.0103,30,0.8635,very strong (.8 1],0.0806,Month
8,Mar,Aug,5,Mar-Aug,SBERT,0.6047,0.0105,0.6528,0.0109,30,0.9048,very strong (.8 1],0.0481,Month
8,Mar,Sep,6,Mar-Sep,BoW,0.6275,0.0094,0.7015,0.0101,30,0.8815,very strong (.8 1],0.074,Month
8,Mar,Sep,6,Mar-Sep,SBERT,0.6158,0.008,0.6625,0.0078,30,0.8749,very strong (.8 1],0.0467,Month
8,Apr,May,1,Apr-May,BoW,0.5757,0.0047,0.6391,0.0067,30,0.671,strong (.6 .8],0.0634,Month
8,Apr,May,1,Apr-May,SBERT,0.5569,0.0045,0.5977,0.0065,30,0.7506,strong (.6 .8],0.0408,Month
8,Apr,Jun,2,Apr-Jun,BoW,0.609,0.0061,0.6755,0.0079,30,0.7724,strong (.6 .8],0.0665,Month
8,Apr,Jun,2,Apr-Jun,SBERT,0.5881,0.0064,0.634,0.0078,30,0.7779,strong (.6 .8],0.0459,Month
8,Apr,Jul,3,Apr-Jul,BoW,0.5982,0.007,0.6783,0.008,30,0.7478,strong (.6 .8],0.0801,Month
8,Apr,Jul,3,Apr-Jul,SBERT,0.5767,0.0062,0.6316,0.0087,30,0.7631,strong (.6 .8],0.0549,Month
8,Apr,Aug,4,Apr-Aug,BoW,0.6196,0.0089,0.6935,0.0093,30,0.683,strong (.6 .8],0.0739,Month
8,Apr,Aug,4,Apr-Aug,SBERT,0.6089,0.0067,0.6528,0.009,30,0.7977,strong (.6 .8],0.0439,Month
8,Apr,Sep,5,Apr-Sep,BoW,0.6269,0.0078,0.6961,0.0101,30,0.7525,strong (.6 .8],0.0692,Month
8,Apr,Sep,5,Apr-Sep,SBERT,0.6027,0.008,0.6487,0.0079,30,0.8565,very strong (.8 1],0.046,Month
8,May,Jun,1,May-Jun,BoW,0.5962,0.0062,0.6549,0.0064,30,0.7541,strong (.6 .8],0.0586,Month
